"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Molex_SPOX-5267_22-03-5075_07x2.54mm_Straight";1;"Conn_01x07";;;
2;"U1";"ESP-12_mod";1;"ESP-12";;;
3;"U4";"SOT-223";1;"AP1117E33";;;
4;"P9,P3,P5,P6,P7,P8";"USB_A_Vertical";6;"USB_A";;;
5;"Q1";"AB2_SON5x6_FET";1;"CSD17577Q5A";;;
6;"R49,R41,R29,R48,R47,R46";"R_1206";6;"0.02R";;;
7;"SW1";"SW_SPST_B3U-1000P";1;"Reset";;;
8;"R3,R1,R28,R30,R16,R20,R32,R7,R8,R15,R10,R12,R4,R6";"R_0805";14;"10K";;;
9;"C30";"c_elec_6.3x7.7";1;"220uF";;;
10;"C27,C13,C42,C43,C45,C44,C41,C15";"C_0805";8;"10uF";;;
11;"IC1";"TQFP-44_10x10mm_Pitch0.8mm";1;"ATMEGA32-M";;;
12;"R42,R26,R36,R44,R43,R45";"R_0805";6;"100R";;;
13;"C31,C22,C33,C36,C35,C34";"C_0805";6;"1nF";;;
14;"C32,C39,C38,C24,C19,C37,C40,C29,C18";"C_0805";9;"100nF";;;
15;"U9,U7,U10,U13,U11,U12";"SOT-23-5";6;"LT6106";;;
16;"R35,R37,R25,R39,R40,R38";"R_0805";6;"1K";;;
17;"R51,R22,R18,R19,R21,R50,R34,R5,R11";"R_0805";9;"470";;;
18;"U2";"TSSOP-28_4.4x9.7mm_Pitch0.65mm";1;"FE1.1s";;;
19;"U6";"SSOP-14_5.3x6.2mm_Pitch0.65mm";1;"LM3150";;;
20;"P1";"USB_B";1;"USB_B";;;
21;"D3";"LED_0805";1;"Act";;;
22;"R27";"R_0805";1;"1K07";;;
23;"R23,R14,R17,R13";"R_0805";4;"100K";;;
24;"L3";"SELF-WE-PD-XXL";1;"2.2uH";;;
25;"C28";"C_0805";1;"470pF";;;
26;"C26";"C_0805";1;"1uF";;;
27;"C25";"C_0805";1;"470nF";;;
28;"C20";"C_0805";1;"15nF";;;
29;"C3,C2,C21,C23,C8";"C_0805";5;"100n";;;
30;"F1";"Fuse_SMD1206_HandSoldering";1;"500mA";;;
31;"C1";"C_0805";1;"1n";;;
32;"R2";"R_0805";1;"15K";;;
33;"L1";"Inductor_1212";1;"10uH";;;
34;"Q4";"TO-252-2Lead";1;"IRFR5305PBF";;;
35;"C11,C12,C14";"C_0603";3;"0.1uF";;;
36;"L2";"R_0805_HandSoldering";1;"100Mhz 470ohm";;;
37;"LED4";"LED_0805";1;"P1";;;
38;"LED2";"LED_0805";1;"P2";;;
39;"LED3";"LED_0805";1;"P3";;;
40;"LED1";"LED_0805";1;"P4";;;
41;"R24";"R_0805";1;"100";;;
42;"U3";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"24LC02";;;
43;"U5";"SOT-23";1;"LM4040";;;
44;"C6,C7";"C_0805";2;"18pF";;;
45;"C9";"C_0805";1;"10nF";;;
46;"R9";"R_0805";1;"2.7K";;;
47;"R33";"R_0805";1;"470K";;;
48;"R31";"R_0805";1;"73K2";;;
49;"Q6,Q8,Q3,Q7,Q5,Q9";"SOT-23";6;"IRLML6401";;;
50;"D2";"LED_0603";1;"MC Stat";;;
51;"P4,P2";"Socket_Strip_Straight_2x04";2;"CONN_02X04";;;
52;"U8";"SOT-23-6";1;"LTC4412";;;
53;"C10";"C_0805";1;"100uF";;;
54;"C4,C5";"C_0603";2;"22pF";;;
55;"C16,C17";"C_1206";2;"22uF";;;
56;"CON2";"JACK_ALIM";1;"JACK";;;
57;"D1";"D_1206";1;"CD1206-S01575";;;
58;"D4";"D_SOD-123F";1;"SKL14";;;
59;"D5";"TO-263-2";1;"SK2030YD2";;;
60;"F2,F3,F4,F5,F6,F7";"Fuse_SMD1206_Wave";6;"F_Small";;;
61;"J2";"Molex_SPOX-5267_22-03-5025_02x2.54mm_Straight";1;"Conn_01x02";;;
62;"J3";"Molex_SPOX-5267_22-03-5065_06x2.54mm_Straight";1;"Conn_01x06";;;
63;"JP1";"SMT-JUMPER_2_NO_SILK";1;"Reset";;;
64;"LED5";"LED_D5.0mm";1;"U_PW";;;
65;"LED6";"LED_D5.0mm";1;"DC_PW";;;
66;"LED7";"LED_D5.0mm";1;"ST_USB";;;
67;"LED8";"LED_D5.0mm";1;"ST_DC";;;
68;"Q2";"AB2_SON5x6_FET";1;"CSD16342Q5A";;;
69;"TP1";"TEST-SMD-SMALL";1;"3.3V";;;
70;"TP2";"TEST-SMD-SMALL";1;"4.096V";;;
71;"Y1";"Crystal_SMD_2016-4pin_2.0x1.6mm";1;"16MHz";;;
72;"Y2";"Crystal_SMD_HC49-SD";1;"12Mhz";;;
